Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Ibrahima NianeI. Niane,24,Sénégal,Avant-centre,AC,"2,00 mio. €",Angers SCO,France,Fin du prêt30 juin 2023,FC Metz,
VagnerVagner,27,Cap-Vert,Ailier droit,AiD,600 K €,RFC Seraing,Belgique,Fin du prêt30 juin 2023,FC Metz,
Boubacar TraoréB. Traoré,21,Mali,Milieu défensif,MDC,"5,00 mio. €",Wolverhampton Wanderers,Angleterre,Fin du prêt30 juin 2023,FC Metz,
Papa Ndiaga YadeP. Yade,23,Sénégal,Ailier gauche,AiG,"1,00 mio. €",ESTAC Troyes,France,Fin du prêt30 juin 2023,FC Metz,
Warren TchimbembéW. Tchimbembé,25,Congo,Ailier droit,AiD,500 K €,EA Guingamp,France,Fin du prêt30 juin 2023,FC Metz,
Sami LahssainiS. Lahssaini,24,Belgique,Milieu central,MC,450 K €,RFC Seraing,Belgique,Fin du prêt30 juin 2023,FC Metz,
Guillaume DietschG. Dietsch,22,France,Gardien de but,GdB,700 K €,RFC Seraing,Belgique,Fin du prêt30 juin 2023,FC Metz,
Georges MikautadzeG. Mikautadze,22,Géorgie,Avant-centre,AC,"10,00 mio. €",Ajax Amsterdam,Pays-Bas,"16,00 mio. €",,FC Metz
Boubacar TraoréB. Traoré,21,Mali,Milieu défensif,MDC,"5,00 mio. €",Wolverhampton Wanderers,Angleterre,"11,00 mio. €",,FC Metz
Youssef MazizY. Maziz,25,France,Milieu offensif,MO,"1,50 mio. €",Oud-Heverlee Leuven,Belgique,"1,50 mio. €",,FC Metz
Ibrahima NianeI. Niane,24,Sénégal,Avant-centre,AC,"2,00 mio. €",Angers SCO,France,500 K €,,FC Metz
Maïdine DouaneM. Douane,20,Algérie,Milieu offensif,MO,250 K €,RFC Seraing,Belgique,Prêt,,FC Metz
Othmane ChraibiO. Chraibi,20,Maroc,Milieu défensif,MDC,-,LB Châteauroux,France,Prêt,,FC Metz
Xhuliano SkukaX. Skuka,24,Albanie,Avant-centre,AC,400 K €,NK Maribor,Slovénie,Prêt,,FC Metz
Lamine GueyeL. Gueye,25,Sénégal,Ailier droit,AiD,800 K €,Paris FC,France,?,,FC Metz
Lenny JosephL. Joseph,22,France,Ailier droit,AiD,500 K €,Grenoble Foot 38,France,?,,FC Metz
Sofiane AlakouchS. Alakouch,25,Maroc,Arrière droit,ArD,600 K €,Paris FC,France,Prêt,,FC Metz
VagnerVagner,27,Cap-Vert,Ailier droit,AiD,600 K €,Sans club,   Sans club,-,,FC Metz
Papa Ndiaga YadeP. Yade,23,Sénégal,Ailier gauche,AiG,"1,00 mio. €",Quevilly - Rouen Métropole,France,Prêt,,FC Metz
Ousmane BaO. Ba,21,Sénégal,Gardien de but,GdB,400 K €,SO Cholet,France,Prêt,,FC Metz
